id,type,question,answerable_from_corpus,gold_articles,retrieved_articles,first_gold_rank,all_gold_retrieved,refused,cited_articles,citation_hit,citation_precision,content_coverage,support_ok,numbers_supported,category,interpretation,answer
q01,numeric,What punishment does the UCMJ authorize for premeditated murder?,True,118,118 > 118 > 128 > 90 > 89,1,True,False,118,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","Any person subject to this chapter who, without justification or excuse, unlawfully kills a human being, when such person— (1) has a premeditated design to kill; (2) intends to kill or inflict great bodily harm; (3) is engaged in an act which is inherently dangerous to another and evinces a wanton disregard of human life; or (4) is engaged in the perpetration or attempted perpetration of burglary, rape, rape of a child, sexual assault, sexual assault of a child, aggravated sexual contact, sexual abuse of a child, robbery, or aggravated arson; is guilty of murder, and shall suffer such punishment as a court-martial may direct, except that if found guilty under clause (1) or (4), such person shall suffer death or imprisonment for life as a court-martial may direct, unless such person is otherwise sentenced in accordance with a plea agreement entered into between the parties under section 853a of this title (article 53a). (Art. 118, UCMJ)"
q02,limitations,What is the statute of limitations for most offenses under the UCMJ?,True,43,43 > 43 > 43 > 43 > 43,1,True,False,43,True,1.0,0.0,True,True,partial,"content coverage 0.00, part of the required wording missing","(e) Extension for Offenses in Time of War Detrimental to Prosecution of War.— For an offense the trial of which in time of war is certified to the President by the Secretary concerned to be detrimental to the prosecution of the war or inimical to the national security , the period of limitation prescribed in this article is extended to six months after the termination of hostilities as proclaimed by the President or by a joint resolution of Congress . "" includes an act that involves abuse of a person who has not attained the age of 18 years and would constitute an offense under chapter 110 or 117 of title 18 or under section 1591 of that title. (3) A person charged with an offense is not liable to be punished under section 815 of this title (article 15) if the offense was committed more than two years before the imposition of punishment. (Art. 43, UCMJ)"
q03,comparative_near_duplicate,What is the difference between desertion and absence without leave under the UCMJ?,True,85/86,85 > 85 > 86 > 76a > 2,1,True,False,85/86,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","(2) quits his unit, organization, or place of duty with intent to avoid hazardous duty or to shirk important service; or (3) without being regularly separated from one of the armed forces enlists or accepts an appointment in the same or another one of the armed forces without fully disclosing the fact that he has not been regularly separated, or enters any foreign armed service except when authorized by the United States; is guilty of desertion. (b) Any commissioned officer of the armed forces who, after tender of his resignation and before notice of its acceptance, quits his post or proper duties without leave and with intent to remain away therefrom permanently is guilty of desertion. (c) (Art. 85, UCMJ)

Any member of the armed forces who, without authority— (1) fails to go to his appointed place of duty at the time prescribed; (2) goes from that place; or (3) absents himself or remains absent from his unit, organization, or place of duty at which he is required to be at the time prescribed; shall be punished as a court-martial may direct. (Art. 86, UCMJ)"
q04,factual_lookup,Can a deserter be sentenced to death under the UCMJ?,True,85,56 > 53 > 25 > 53 > 118,0,False,False,53/25/118,False,0.0,0.5,True,True,misattribution_after_retrieval_miss,answered from 53/25/118 but gold is 85; gold was never retrieved,"(3) Other non-capital offenses.— In a capital case, if the accused is convicted of a non-capital offense, the accused shall be sentenced for such non-capital offense in accordance with subsection (b), regardless of whether the accused is convicted of an offense for which the court-martial may sentence the accused to death. (Art. 53, UCMJ)

(2) In a capital case, if the accused is convicted of an offense for which the court-martial may sentence the accused to death, the accused shall be sentenced in accordance with section 853(c) of this title (article 53(c)). (Art. 25, UCMJ)

is guilty of murder, and shall suffer such punishment as a court-martial may direct, except that if found guilty under clause (1) or (4), such person shall suffer death or imprisonment for life as a court-martial may direct, unless such person is otherwise sentenced in accordance with a plea agreement entered into between the parties under section 853a of this title (article 53a). (Art. 118, UCMJ)"
q05,definition,How does the UCMJ define a commanding officer?,True,1,22 > 23 > 22 > 23 > 1,5,True,False,1,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","(3) The term "" commanding officer "" includes only commissioned officers. (4) The term "" officer in charge "" means a member of the Navy, the Marine Corps, or the Coast Guard designated as such by appropriate authority. (5) The term "" superior commissioned officer "" means a commissioned officer superior in rank or command. (Art. 1, UCMJ)"
q06,definition,Who counts as an accuser under the UCMJ?,True,1,22 > 1 > 64 > 23 > 1,2,True,False,1,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","(9) The term "" accuser "" means a person who signs and swears to charges, any person who directs that charges nominally be signed and sworn to by another, and any other person who has an interest other than an official interest in the prosecution of the accused. (Art. 1, UCMJ)"
q07,enumeration,Who is subject to the UCMJ?,True,2,146 > 2 > 18 > 3 > 112,2,True,True,,,,,True,,false_refusal_after_retrieval_hit,gold article retrieved but no sentence cleared the support test,"The retrieved provisions do not answer this question. Rather than construct an answer from weakly matching passages, the system declines."
q08,factual_lookup,What rights does Article 31 give a servicemember suspected of an offense?,True,31,6b > 6b > 6b > 6b > 31,5,True,False,6b/31,True,0.5,0.5,True,True,partial,"content coverage 0.50, part of the required wording missing","(B) A preliminary hearing under section 832 of this title (article 32) relating to the offense. (2) to create, to enlarge, or to imply any duty or obligation to any victim of an offense under this chapter or other person for the breach of which the United States or any of its officers or employees could be held liable in damages; or (3) to impair the exercise of discretion under sections 830 and 834 of this title (articles 30 and 34). (Art. 6b, UCMJ)

(b) No person subject to this chapter may interrogate, or request any statement from, an accused or a person suspected of an offense without first informing him of the nature of the accusation and advising him that he does not have to make any statement regarding the offense of which he is accused or suspected and that any statement made by him may be used as evidence against him in a trial by court-martial. (Art. 31, UCMJ)"
q09,enumeration,What are the three types of courts-martial?,True,16,16 > 16 > 146a > 18 > 21,1,True,False,16,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","(a) In General.— The three kinds of courts-martial in each of the armed forces are the following: (1) General courts-martial, as described in subsection (b). (2) Special courts -martial, as described in subsection (c). (3) Summary courts-martial, as described in subsection (d). (b) General Courts-martial.— General courts-martial are of the following three types: (1) A general court-martial consisting of a military judge and eight members, subject to sections 825(e)(3) and 829 of this title (articles 25(e)(3) and 29). (2) In a capital case, a general court-martial consisting of a military judge and the number of members determined under section 825a of this title (article 25a), subject to sections 825(e)(3) and 829 of this title (articles 25(e)(3) and 29). (3) A general court-martial consisting of a military judge alone, if, before the court is assembled, the accused, knowing the identity of the military judge and after consultation with defense counsel, requests, orally on the record or in writing, a court composed of a military judge alone and the military judge approves the request. (Art. 16, UCMJ)"
q10,numeric,How many members sit on a court-martial panel in a capital case?,True,25a,25a > 29 > 29 > 25 > 25,1,True,False,25a/29,True,0.5,1.0,True,True,success,"correct citation, full required content, support check passed","(a) In General.— In a case in which the accused may be sentenced to death, the number of members shall be 12. (b) Case No Longer Capital.— Subject to section 829 of this title (article 29)— (1) if a case is referred for trial as a capital case and, before the members are impaneled, the accused may no longer be sentenced to death, the number of members shall be eight; and (2) if a case is referred for trial as a capital case and, after the members are impaneled, the accused may no longer be sentenced to death, the number of members shall remain 12. (Art. 25a, UCMJ)

(d) Detail of New Members.— (1) If, after members are impaneled, the membership of the court-martial is reduced to— (A) fewer than 12 members with respect to a general court-martial in a capital case; (B) fewer than six members with respect to a general court-martial in a noncapital case; or (C) fewer than four members with respect to a special court-martial; the trial may not proceed unless the convening authority details new members and, from among the members so detailed, the military judge impanels new members sufficient in number to provide the membership specified in paragraph (2). (2) The membership referred to in paragraph (1) is as follows: (A) 12 members with respect to a general court-martial in a capital case. (B) At least six but not more than eight members with respect to a general court-martial in a noncapital case. (C) (Art. 29, UCMJ)"
q11,conditional,What punishments can a commanding officer impose under Article 15 without a court-martial?,True,15,15 > 15 > 15 > 15 > 15,1,True,False,15,True,1.0,0.5,True,True,partial,"content coverage 0.50, part of the required wording missing","However, except in the case of a member attached to or embarked in a vessel, punishment may not be imposed upon any member of the armed forces under this article if the member has, before the imposition of such punishment, demanded trial by court-martial in lieu of such punishment. (b) Subject to subsection (a), any commanding officer may, in addition to or in lieu of admonition or reprimand, impose one or more of the following disciplinary punishments for minor offenses without the intervention of a court-martial— (1) (B) if imposed by an officer exercising general court-martial jurisdiction or an officer of general or flag rank in command— (i) arrest in quarters for not more than 30 consecutive days; (ii) forfeiture of not more than one-half of one month's pay per month for two months; (iii) restriction to certain specified limits, with or without suspension from duty, for not more than 60 consecutive days; (iv) detention of not more than one-half of one month's pay per month for three months; (2) upon other personnel of his command— (A) (Art. 15, UCMJ)"
q12,conditional,What has to happen before charges can be referred to a general court-martial?,True,32,35 > 30a > 19 > 16 > 34,0,False,False,35/30a/34,False,0.333,0.0,True,True,misattribution_after_retrieval_miss,answered from 35/30a/34 but gold is 32; gold was never retrieved,"(a) In General.— Trial counsel detailed for a court-martial under section 827 of this title (article 27) shall cause to be served upon the accused a copy of the charges and specifications referred for trial. (Art. 35, UCMJ)

(3) If any matter in a proceeding under this section becomes a subject at issue with respect to charges that have been referred to a general or special court-martial, the matter shall be transferred to the military judge detailed to the court-martial. (Art. 30a, UCMJ)

to a general or special court-martial for trial of charges and specifications over which a special trial counsel exercises authority may only be made— (1) by a special trial counsel , subject to a special trial counsel 's written determination accompanying the referral that— (A) each specification under a charge alleges an offense under this chapter; (B) there is probable cause to believe that the accused committed the offense charged; and (C) a court-martial would have jurisdiction over the accused and the offense; or (2) in the case of charges and specifications that do not allege a covered offense and as to which a special trial counsel declines to prefer or, in the case of charges and specifications preferred by a person other than a special trial counsel , refer charges, by the convening authority in accordance with this section. (Art. 34, UCMJ)"
q13,factual_lookup,Can a military officer be punished for insulting the President?,True,88,88 > 48 > 4 > 4 > 26,1,True,False,88,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","Any commissioned officer who uses contemptuous words against the President, the Vice President , Congress , the Secretary of Defense , the Secretary of a military department, the Secretary of Homeland Security , or the Governor or legislature of any State, Commonwealth, or possession in which he is on duty or present shall be punished as a court-martial may direct. (Art. 88, UCMJ)"
q14,comparative,What is the difference between conduct unbecoming an officer and the general article?,True,133/134,133 > 91 > 37 > 134 > 60a,1,True,False,133/134/60a,True,0.667,1.0,True,True,success,"correct citation, full required content, support check passed","Any commissioned officer, cadet , or midshipman who is convicted of conduct unbecoming an officer shall be punished as a court-martial may direct. (Art. 133, UCMJ)

Though not specifically mentioned in this chapter, all disorders and neglects to the prejudice of good order and discipline in the armed forces, all conduct of a nature to bring discredit upon the armed forces, and crimes and offenses not capital , of which persons subject to this chapter may be guilty, shall be taken cognizance of by a general, special, or summary court-martial, according to the nature and degree of the offense, and shall be punished at the discretion of that court. As used in the preceding sentence, the term "" crimes and offenses not capital "" includes any conduct engaged in outside the United States, as defined in section 5 of title 18 , that would constitute a crime or offense not capital if the conduct had been engaged in within the special maritime and territorial jurisdiction of the United States, as defined in section 7 of title 18 . (Art. 134, UCMJ)

(D) A general or special court-martial in which the accused is found guilty of a violation of subsection (a) or (b) of section 920 of this title (article 120), section 920b of this title (article 120b), or such other offense as the Secretary of Defense may specify by regulation. (Art. 60a, UCMJ)"
q15,factual_lookup,Does the UCMJ prohibit cruel and unusual punishment?,True,55,55 > 18 > 102 > 15 > 90,1,True,False,55,True,1.0,1.0,True,True,success,"correct citation, full required content, support check passed","Punishment by flogging, or by branding, marking, or tattooing on the body, or any other cruel or unusual punishment, may not be adjudged by any court-martial or inflicted upon any person subject to this chapter. The use of irons, single or double, except for the purpose of safe custody, is prohibited. (Art. 55, UCMJ)"
q16,conditional,What does the UCMJ say about disobeying an order or regulation?,True,92,92 > 90 > 63 > 63 > 2,1,True,False,92/2,True,0.5,1.0,True,True,success,"correct citation, full required content, support check passed","Any person subject to this chapter who— (1) violates or fails to obey any lawful general order or regulation; (2) having knowledge of any other lawful order issued by a member of the armed forces, which it is his duty to obey, fails to obey the order; or (3) is derelict in the performance of his duties; shall be punished as a court-martial may direct. (Art. 92, UCMJ)

Authority to order a member to active duty under paragraph (1) shall be exercised under regulations prescribed by the President. (Art. 2, UCMJ)"
q17,statute_boundary,What is the maximum confinement for being AWOL for more than 30 days?,False,(control),15 > 15 > 60a > 15 > 15,,,True,,,,,True,,control_refused_correctly,"control question, correctly refused at the corpus boundary","The statute does not contain this figure. The UCMJ typically provides punishment 'as a court-martial may direct'; the specific maximum punishments are set in the Manual for Courts-Martial punishment tables, which are not part of this corpus."
q18,out_of_corpus,What does Rule for Courts-Martial 707 require for a speedy trial?,False,(control),76 > 62 > 18 > 20 > 20,,,True,,,,,True,,control_refused_correctly,"control question, correctly refused at the corpus boundary","This question asks about material from the Manual for Courts-Martial (which includes the Rules for Courts-Martial), not the UCMJ statute. This corpus contains only the statutory text of 10 U.S.C. chapter 47, so it cannot answer this."
